,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2015-01-01,2015,1,1,-22.8,-29.7,-26.3
1,2015-01-02,2015,1,2,-20.7,-28.7,-24.7
2,2015-01-03,2015,1,3,-22.3,-26.3,-24.3
3,2015-01-04,2015,1,4,-24.0,-27.8,-25.9
4,2015-01-05,2015,1,5,-13.4,-24.9,-19.2
5,2015-01-06,2015,1,6,-12.7,-25.4,-19.1
6,2015-01-07,2015,1,7,-24.9,-28.8,-26.9
7,2015-01-08,2015,1,8,-25.5,-30.2,-27.9
8,2015-01-09,2015,1,9,-23.9,-26.9,-25.4
9,2015-01-10,2015,1,10,-22.2,-28.4,-25.3
10,2015-01-11,2015,1,11,-25.5,-28.7,-27.1
11,2015-01-12,2015,1,12,-25.1,-29.2,-27.2
12,2015-01-13,2015,1,13,-23.4,-28.6,-26.0
13,2015-01-14,2015,1,14,-18.4,-24.7,-21.6
14,2015-01-15,2015,1,15,-18.6,-22.7,-20.7
15,2015-01-16,2015,1,16,-15.1,-21.9,-18.5
16,2015-01-17,2015,1,17,-15.4,-28.0,-21.7
17,2015-01-18,2015,1,18,-18.3,-28.5,-23.4
18,2015-01-19,2015,1,19,-15.4,-20.9,-18.2
19,2015-01-20,2015,1,20,-11.0,-15.9,-13.5
20,2015-01-21,2015,1,21,-15.2,-24.3,-19.8
21,2015-01-22,2015,1,22,-19.2,-26.5,-22.9
22,2015-01-23,2015,1,23,-15.6,-23.6,-19.6
23,2015-01-24,2015,1,24,-14.2,-15.9,-15.1
24,2015-01-25,2015,1,25,-10.7,-15.9,-13.3
25,2015-01-26,2015,1,26,-12.2,-27.6,-19.9
26,2015-01-27,2015,1,27,-22.5,-29.1,-25.8
27,2015-01-28,2015,1,28,-18.3,-26.7,-22.5
28,2015-01-29,2015,1,29,-16.2,-22.3,-19.3
29,2015-01-30,2015,1,30,-13.2,-19.3,-16.3
30,2015-01-31,2015,1,31,-16.4,-21.6,-19.0
31,2015-02-01,2015,2,1,-12.3,-20.7,-16.5
32,2015-02-02,2015,2,2,-20.6,-29.5,-25.1
33,2015-02-03,2015,2,3,-20.5,-31.9,-26.2
34,2015-02-04,2015,2,4,-21.0,-28.8,-24.9
35,2015-02-05,2015,2,5,-22.8,-29.8,-26.3
36,2015-02-06,2015,2,6,-25.5,-31.9,-28.7
37,2015-02-07,2015,2,7,-25.1,-33.4,-29.3
