,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,-5.2,-11.5,-8.4
1,2016-01-02,2016,1,2,-3.9,-6.6,-5.3
2,2016-01-03,2016,1,3,-5.3,-15.8,-10.6
3,2016-01-04,2016,1,4,-3.2,-22.9,-13.1
4,2016-01-05,2016,1,5,-1.6,-3.4,-2.5
5,2016-01-06,2016,1,6,-3.3,-5.4,-4.4
6,2016-01-07,2016,1,7,-2.7,-5.9,-4.3
7,2016-01-08,2016,1,8,-0.2,-6.3,-3.3
8,2016-01-09,2016,1,9,-6.3,-16.5,-11.4
9,2016-01-10,2016,1,10,-15.7,-19.5,-17.6
10,2016-01-11,2016,1,11,-15.8,-23.6,-19.7
11,2016-01-12,2016,1,12,-18.3,-25.1,-21.7
12,2016-01-13,2016,1,13,-17.7,-27.2,-22.5
13,2016-01-14,2016,1,14,-12.4,-29.2,-20.8
14,2016-01-15,2016,1,15,-8.1,-17.7,-12.9
15,2016-01-16,2016,1,16,-14.6,-19.2,-16.9
16,2016-01-17,2016,1,17,-16.8,-22.2,-19.5
17,2016-01-18,2016,1,18,-15.3,-22.0,-18.7
18,2016-01-19,2016,1,19,-11.5,-20.2,-15.9
19,2016-01-20,2016,1,20,-7.7,-17.2,-12.5
20,2016-01-21,2016,1,21,-8.6,-15.2,-11.9
21,2016-01-22,2016,1,22,-8.8,-18.8,-13.8
22,2016-01-23,2016,1,23,-2.4,-18.5,-10.5
23,2016-01-24,2016,1,24,-3.6,-7.4,-5.5
24,2016-01-25,2016,1,25,-3.8,-7.7,-5.8
25,2016-01-26,2016,1,26,-5.6,-12.1,-8.9
26,2016-01-27,2016,1,27,-2.2,-13.2,-7.7
27,2016-01-28,2016,1,28,-2.9,-23.6,-13.3
28,2016-01-29,2016,1,29,-3.7,-29.4,-16.6
29,2016-01-30,2016,1,30,3.8,-3.8,0.0
30,2016-01-31,2016,1,31,1.4,-11.1,-4.9
31,2016-02-01,2016,2,1,-9.6,-15.4,-12.5
32,2016-02-02,2016,2,2,-7.1,-18.1,-12.6
33,2016-02-03,2016,2,3,-9.8,-19.6,-14.7
34,2016-02-04,2016,2,4,-9.2,-22.2,-15.7
35,2016-02-05,2016,2,5,-5.7,-20.0,-12.9
36,2016-02-06,2016,2,6,-8.2,-11.9,-10.1
37,2016-02-07,2016,2,7,-7.5,-13.6,-10.6
38,2016-02-08,2016,2,8,-13.3,-18.9,-16.1
39,2016-02-09,2016,2,9,-15.5,-22.5,-19.0
40,2016-02-10,2016,2,10,-18.4,-26.3,-22.4
41,2016-02-11,2016,2,11,-10.9,-26.6,-18.8
42,2016-02-12,2016,2,12,-14.9,-27.0,-21.0
43,2016-02-13,2016,2,13,-16.1,-27.0,-21.6
44,2016-02-14,2016,2,14,-5.7,-29.4,-17.6
45,2016-02-15,2016,2,15,-3.7,-7.4,-5.6
46,2016-02-16,2016,2,16,-4.2,-19.6,-11.9
47,2016-02-17,2016,2,17,-8.0,-25.5,-16.8
48,2016-02-18,2016,2,18,1.0,-16.7,-7.9
49,2016-02-19,2016,2,19,0.7,-1.5,-0.4
50,2016-02-20,2016,2,20,3.6,-11.5,-4.0
51,2016-02-21,2016,2,21,-8.4,-20.9,-14.7
52,2016-02-22,2016,2,22,-4.6,-25.1,-14.9
53,2016-02-23,2016,2,23,1.0,-6.7,-2.9
54,2016-02-24,2016,2,24,-2.4,-9.5,-6.0
55,2016-02-25,2016,2,25,-5.2,-11.9,-8.6
56,2016-02-26,2016,2,26,1.0,-11.6,-5.3
57,2016-02-27,2016,2,27,3.5,-10.7,-3.6
58,2016-02-28,2016,2,28,-9.8,-14.4,-12.1
59,2016-02-29,2016,2,29,-9.7,-18.5,-14.1
60,2016-03-01,2016,3,1,-9.1,-22.6,-15.9
61,2016-03-02,2016,3,2,-9.5,-24.7,-17.1
62,2016-03-03,2016,3,3,-2.4,-25.6,-14.0
63,2016-03-04,2016,3,4,-2.6,-20.4,-11.5
64,2016-03-05,2016,3,5,3.0,-18.5,-7.8
65,2016-03-06,2016,3,6,3.5,-3.0,0.3
66,2016-03-07,2016,3,7,4.8,-3.9,0.5
67,2016-03-08,2016,3,8,4.4,-0.2,2.1
68,2016-03-09,2016,3,9,0.0,-7.5,-3.8
69,2016-03-10,2016,3,10,-0.5,-6.9,-3.7
70,2016-03-11,2016,3,11,6.5,-5.5,0.5
71,2016-03-12,2016,3,12,13.8,-2.7,5.6
72,2016-03-13,2016,3,13,5.9,-3.1,1.4
73,2016-03-14,2016,3,14,9.1,-1.3,3.9
74,2016-03-15,2016,3,15,12.1,-1.5,5.3
75,2016-03-16,2016,3,16,0.5,-3.9,-1.7
76,2016-03-17,2016,3,17,3.3,-6.6,-1.7
77,2016-03-18,2016,3,18,-2.4,-11.3,-6.9
78,2016-03-19,2016,3,19,2.6,-15.1,-6.3
79,2016-03-20,2016,3,20,1.6,-10.3,-4.4
80,2016-03-21,2016,3,21,0.8,-13.2,-6.2
81,2016-03-22,2016,3,22,-2.7,-12.8,-7.8
82,2016-03-23,2016,3,23,-2.7,-14.7,-8.7
83,2016-03-24,2016,3,24,3.1,-12.9,-4.9
84,2016-03-25,2016,3,25,2.9,-11.4,-4.3
85,2016-03-26,2016,3,26,1.2,-6.1,-2.5
86,2016-03-27,2016,3,27,5.0,-9.5,-2.3
87,2016-03-28,2016,3,28,4.8,-6.2,-0.7
88,2016-03-29,2016,3,29,7.2,-8.6,-0.7
89,2016-03-30,2016,3,30,8.2,0.4,4.3
90,2016-03-31,2016,3,31,3.4,-3.6,-0.1
91,2016-04-01,2016,4,1,-3.4,-10.1,-6.8
92,2016-04-02,2016,4,2,-7.1,-15.1,-11.1
93,2016-04-03,2016,4,3,,,
94,2016-04-04,2016,4,4,-4.1,-14.9,-9.5
95,2016-04-05,2016,4,5,4.8,-16.3,-5.8
96,2016-04-06,2016,4,6,1.7,-5.0,-1.7
97,2016-04-07,2016,4,7,0.2,-8.9,-4.4
98,2016-04-08,2016,4,8,-5.3,-11.7,-8.5
99,2016-04-09,2016,4,9,-1.9,-15.8,-8.9
100,2016-04-10,2016,4,10,0.1,-6.4,-3.2
101,2016-04-11,2016,4,11,0.4,-6.1,-2.9
102,2016-04-12,2016,4,12,1.9,-7.2,-2.7
103,2016-04-13,2016,4,13,7.6,-4.7,1.5
104,2016-04-14,2016,4,14,7.0,1.1,4.1
