,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,0.4,-16.9,-8.3
1,2016-01-02,2016,1,2,-4.1,-17.5,-10.8
2,2016-01-03,2016,1,3,0.1,-18.2,-9.1
3,2016-01-04,2016,1,4,2.7,-9.8,-3.6
4,2016-01-05,2016,1,5,-5.1,-10.2,-7.7
5,2016-01-06,2016,1,6,-8.9,-15.6,-12.3
6,2016-01-07,2016,1,7,-8.4,-13.2,-10.8
7,2016-01-08,2016,1,8,-13.0,-19.4,-16.2
8,2016-01-09,2016,1,9,-16.7,-28.2,-22.5
9,2016-01-10,2016,1,10,-0.1,-26.9,-13.5
10,2016-01-11,2016,1,11,-0.9,-16.1,-8.5
11,2016-01-12,2016,1,12,4.5,-15.9,-5.7
12,2016-01-13,2016,1,13,7.0,-1.1,3.0
13,2016-01-14,2016,1,14,1.8,-3.4,-0.8
14,2016-01-15,2016,1,15,-2.2,-12.9,-7.6
15,2016-01-16,2016,1,16,-12.7,-15.6,-14.2
16,2016-01-17,2016,1,17,-9.4,-14.3,-11.9
17,2016-01-18,2016,1,18,2.9,-12.6,-4.9
18,2016-01-19,2016,1,19,4.9,-8.4,-1.8
19,2016-01-20,2016,1,20,-8.4,-15.7,-12.1
20,2016-01-21,2016,1,21,4.6,-15.8,-5.6
21,2016-01-22,2016,1,22,6.7,2.2,4.5
22,2016-01-23,2016,1,23,6.2,-0.5,2.9
23,2016-01-24,2016,1,24,0.2,-6.1,-3.0
24,2016-01-25,2016,1,25,2.1,-8.1,-3.0
25,2016-01-26,2016,1,26,8.5,-2.1,3.2
26,2016-01-27,2016,1,27,10.6,1.2,5.9
27,2016-01-28,2016,1,28,13.2,3.7,8.5
28,2016-01-29,2016,1,29,8.0,0.0,4.0
29,2016-01-30,2016,1,30,5.6,-0.5,2.6
30,2016-01-31,2016,1,31,0.7,-7.4,-3.4
31,2016-02-01,2016,2,1,0.5,-6.0,-2.8
32,2016-02-02,2016,2,2,-2.8,-14.1,-8.5
33,2016-02-03,2016,2,3,-2.1,-18.2,-10.2
34,2016-02-04,2016,2,4,3.5,-8.5,-2.5
35,2016-02-05,2016,2,5,8.9,-8.4,0.3
36,2016-02-06,2016,2,6,7.9,-0.6,3.7
37,2016-02-07,2016,2,7,6.5,-3.6,1.5
38,2016-02-08,2016,2,8,14.6,-3.2,5.7
39,2016-02-09,2016,2,9,16.8,0.8,8.8
40,2016-02-10,2016,2,10,8.3,-2.6,2.9
41,2016-02-11,2016,2,11,8.3,-3.4,2.5
42,2016-02-12,2016,2,12,6.3,-1.7,2.3
43,2016-02-13,2016,2,13,10.0,0.7,5.4
44,2016-02-14,2016,2,14,12.4,2.0,7.2
45,2016-02-15,2016,2,15,9.5,-2.9,3.3
46,2016-02-16,2016,2,16,12.9,-2.1,5.4
47,2016-02-17,2016,2,17,11.0,-2.4,4.3
48,2016-02-18,2016,2,18,13.7,-1.4,6.2
49,2016-02-19,2016,2,19,9.1,2.1,5.6
50,2016-02-20,2016,2,20,5.5,-6.1,-0.3
51,2016-02-21,2016,2,21,7.6,-5.8,0.9
52,2016-02-22,2016,2,22,7.7,-3.9,1.9
53,2016-02-23,2016,2,23,5.9,-5.8,0.1
54,2016-02-24,2016,2,24,5.3,-9.1,-1.9
55,2016-02-25,2016,2,25,12.3,-5.6,3.4
56,2016-02-26,2016,2,26,18.0,-2.3,7.9
57,2016-02-27,2016,2,27,12.0,1.3,6.7
58,2016-02-28,2016,2,28,11.7,-2.9,4.4
59,2016-02-29,2016,2,29,-1.0,-10.2,-5.6
60,2016-03-01,2016,3,1,8.3,-9.5,-0.6
61,2016-03-02,2016,3,2,5.4,-1.1,2.2
62,2016-03-03,2016,3,3,15.2,-2.6,6.3
63,2016-03-04,2016,3,4,14.0,-4.3,4.9
64,2016-03-05,2016,3,5,18.8,1.1,10.0
65,2016-03-06,2016,3,6,15.6,0.1,7.9
66,2016-03-07,2016,3,7,14.2,-0.4,6.9
67,2016-03-08,2016,3,8,11.9,-0.3,5.8
68,2016-03-09,2016,3,9,11.4,-8.5,1.5
69,2016-03-10,2016,3,10,18.7,-2.1,8.3
70,2016-03-11,2016,3,11,16.2,2.2,9.2
71,2016-03-12,2016,3,12,18.4,3.5,11.0
72,2016-03-13,2016,3,13,12.0,1.9,7.0
73,2016-03-14,2016,3,14,11.8,-2.4,4.7
74,2016-03-15,2016,3,15,6.4,-8.1,-0.9
75,2016-03-16,2016,3,16,9.5,-1.2,4.2
76,2016-03-17,2016,3,17,3.4,-5.9,-1.3
77,2016-03-18,2016,3,18,4.5,-8.1,-1.8
78,2016-03-19,2016,3,19,14.4,-8.1,3.2
79,2016-03-20,2016,3,20,17.4,-6.1,5.7
80,2016-03-21,2016,3,21,11.3,-3.5,3.9
81,2016-03-22,2016,3,22,3.2,-5.8,-1.3
82,2016-03-23,2016,3,23,13.5,-4.7,4.4
83,2016-03-24,2016,3,24,13.4,0.5,7.0
84,2016-03-25,2016,3,25,4.4,-1.8,1.3
85,2016-03-26,2016,3,26,11.4,-2.5,4.5
86,2016-03-27,2016,3,27,14.2,-4.5,4.9
87,2016-03-28,2016,3,28,8.1,1.2,4.7
88,2016-03-29,2016,3,29,13.1,-3.0,5.1
89,2016-03-30,2016,3,30,14.9,0.1,7.5
90,2016-03-31,2016,3,31,10.4,2.2,6.3
91,2016-04-01,2016,4,1,20.0,-0.9,9.6
92,2016-04-02,2016,4,2,23.2,2.2,12.7
93,2016-04-03,2016,4,3,16.5,3.2,9.9
94,2016-04-04,2016,4,4,20.5,0.5,10.5
95,2016-04-05,2016,4,5,15.5,5.1,10.3
96,2016-04-06,2016,4,6,17.0,8.0,12.5
97,2016-04-07,2016,4,7,17.5,-4.1,6.7
98,2016-04-08,2016,4,8,27.6,-0.9,13.4
99,2016-04-09,2016,4,9,18.1,5.4,11.8
100,2016-04-10,2016,4,10,10.8,-5.7,2.6
101,2016-04-11,2016,4,11,21.2,-2.6,9.3
102,2016-04-12,2016,4,12,23.6,0.0,11.8
103,2016-04-13,2016,4,13,18.0,0.0,9.0
104,2016-04-14,2016,4,14,12.1,-3.0,4.6
105,2016-04-15,2016,4,15,13.4,1.9,7.7
106,2016-04-16,2016,4,16,19.1,0.5,9.8
107,2016-04-17,2016,4,17,20.3,3.1,11.7
108,2016-04-18,2016,4,18,21.6,0.8,11.2
109,2016-04-19,2016,4,19,26.7,4.8,15.8
110,2016-04-20,2016,4,20,21.9,5.0,13.5
111,2016-04-21,2016,4,21,27.1,2.1,14.6
112,2016-04-22,2016,4,22,21.2,4.4,12.8
113,2016-04-23,2016,4,23,10.7,4.8,7.8
114,2016-04-24,2016,4,24,6.8,3.4,5.1
115,2016-04-25,2016,4,25,4.6,1.1,2.9
116,2016-04-26,2016,4,26,7.0,0.6,3.8
117,2016-04-27,2016,4,27,8.5,-0.2,4.2
118,2016-04-28,2016,4,28,13.6,1.8,7.7
119,2016-04-29,2016,4,29,11.4,3.2,7.3
120,2016-04-30,2016,4,30,16.1,5.3,10.7
121,2016-05-01,2016,5,1,21.5,2.0,11.8
122,2016-05-02,2016,5,2,26.1,4.1,15.1
123,2016-05-03,2016,5,3,29.7,6.4,18.1
124,2016-05-04,2016,5,4,30.3,7.3,18.8
125,2016-05-05,2016,5,5,21.5,10.0,15.8
126,2016-05-06,2016,5,6,21.0,6.7,13.9
127,2016-05-07,2016,5,7,26.7,3.8,15.3
128,2016-05-08,2016,5,8,25.7,7.0,16.4
129,2016-05-09,2016,5,9,10.2,3.5,6.9
130,2016-05-10,2016,5,10,12.6,2.6,7.6
131,2016-05-11,2016,5,11,15.6,0.1,7.9
132,2016-05-12,2016,5,12,9.8,3.8,6.8
133,2016-05-13,2016,5,13,13.1,-0.4,6.4
134,2016-05-14,2016,5,14,16.6,-1.5,7.6
135,2016-05-15,2016,5,15,19.0,0.2,9.6
136,2016-05-16,2016,5,16,22.7,1.9,12.3
137,2016-05-17,2016,5,17,25.3,9.1,17.2
138,2016-05-18,2016,5,18,27.0,8.8,17.9
139,2016-05-19,2016,5,19,17.3,10.4,13.9
140,2016-05-20,2016,5,20,10.4,4.0,7.2
141,2016-05-21,2016,5,21,7.0,4.3,5.7
142,2016-05-22,2016,5,22,10.6,5.2,7.9
143,2016-05-23,2016,5,23,11.5,5.1,8.3
144,2016-05-24,2016,5,24,17.5,6.6,12.1
