,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,13.6,-0.4,6.6
1,2016-01-02,2016,1,2,8.3,-0.2,4.1
2,2016-01-03,2016,1,3,4.4,-3.0,0.7
3,2016-01-04,2016,1,4,1.6,-7.5,-3.0
4,2016-01-05,2016,1,5,-0.6,-9.0,-4.8
5,2016-01-06,2016,1,6,-0.2,-11.1,-5.7
6,2016-01-07,2016,1,7,-10.0,-14.2,-12.1
7,2016-01-08,2016,1,8,-4.4,-15.3,-9.9
8,2016-01-09,2016,1,9,2.4,-15.2,-6.4
9,2016-01-10,2016,1,10,4.9,-8.8,-2.0
10,2016-01-11,2016,1,11,0.9,-9.6,-4.4
11,2016-01-12,2016,1,12,4.7,-2.6,1.1
12,2016-01-13,2016,1,13,7.7,0.9,4.3
13,2016-01-14,2016,1,14,1.6,-6.6,-2.5
14,2016-01-15,2016,1,15,-4.4,-13.2,-8.8
15,2016-01-16,2016,1,16,-12.7,-16.7,-14.7
16,2016-01-17,2016,1,17,0.1,-18.6,-9.3
17,2016-01-18,2016,1,18,6.3,-3.7,1.3
18,2016-01-19,2016,1,19,4.5,-4.0,0.3
19,2016-01-20,2016,1,20,-1.5,-7.4,-4.5
20,2016-01-21,2016,1,21,6.4,-7.4,-0.5
21,2016-01-22,2016,1,22,9.2,2.5,5.9
22,2016-01-23,2016,1,23,3.9,-2.2,0.9
23,2016-01-24,2016,1,24,0.5,-3.8,-1.7
24,2016-01-25,2016,1,25,5.4,-5.6,-0.1
25,2016-01-26,2016,1,26,11.0,0.2,5.6
26,2016-01-27,2016,1,27,11.1,2.8,7.0
27,2016-01-28,2016,1,28,13.1,3.9,8.5
28,2016-01-29,2016,1,29,6.7,-2.0,2.4
29,2016-01-30,2016,1,30,3.2,-2.9,0.2
30,2016-01-31,2016,1,31,-0.4,-5.5,-3.0
31,2016-02-01,2016,2,1,-1.0,-7.8,-4.4
32,2016-02-02,2016,2,2,-1.3,-9.8,-5.6
33,2016-02-03,2016,2,3,1.2,-9.6,-4.2
34,2016-02-04,2016,2,4,4.5,-3.7,0.4
35,2016-02-05,2016,2,5,7.5,-2.2,2.7
36,2016-02-06,2016,2,6,7.2,-2.4,2.4
37,2016-02-07,2016,2,7,6.2,-6.1,0.1
38,2016-02-08,2016,2,8,14.0,-0.4,6.8
39,2016-02-09,2016,2,9,16.3,5.0,10.7
40,2016-02-10,2016,2,10,11.6,1.2,6.4
41,2016-02-11,2016,2,11,8.5,0.1,4.3
42,2016-02-12,2016,2,12,6.9,-3.8,1.6
43,2016-02-13,2016,2,13,8.1,0.2,4.2
44,2016-02-14,2016,2,14,8.3,-1.0,3.7
45,2016-02-15,2016,2,15,6.8,-1.5,2.7
46,2016-02-16,2016,2,16,9.4,-0.5,4.5
47,2016-02-17,2016,2,17,9.6,-0.8,4.4
48,2016-02-18,2016,2,18,9.0,1.5,5.3
49,2016-02-19,2016,2,19,7.5,-2.3,2.6
50,2016-02-20,2016,2,20,2.4,-5.8,-1.7
51,2016-02-21,2016,2,21,5.2,-4.4,0.4
52,2016-02-22,2016,2,22,6.1,-4.3,0.9
53,2016-02-23,2016,2,23,5.3,-5.9,-0.3
54,2016-02-24,2016,2,24,3.5,-7.2,-1.9
55,2016-02-25,2016,2,25,10.4,-2.9,3.8
56,2016-02-26,2016,2,26,14.3,2.6,8.5
57,2016-02-27,2016,2,27,7.5,-2.2,2.7
58,2016-02-28,2016,2,28,9.6,-5.0,2.3
59,2016-02-29,2016,2,29,0.6,-11.5,-5.5
60,2016-03-01,2016,3,1,5.9,-4.2,0.9
