,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,0.3,-11.0,-5.4
1,2016-01-02,2016,1,2,-0.9,-9.7,-5.3
2,2016-01-03,2016,1,3,1.8,-10.2,-4.2
3,2016-01-04,2016,1,4,-5.4,-12.0,-8.7
4,2016-01-05,2016,1,5,-7.7,-15.6,-11.7
5,2016-01-06,2016,1,6,-13.7,-17.1,-15.4
6,2016-01-07,2016,1,7,-16.2,-20.1,-18.2
7,2016-01-08,2016,1,8,-17.2,-18.5,-17.9
8,2016-01-09,2016,1,9,-14.7,-18.0,-16.4
9,2016-01-10,2016,1,10,-14.6,-22.6,-18.6
10,2016-01-11,2016,1,11,-19.9,-27.1,-23.5
11,2016-01-12,2016,1,12,-25.8,-30.5,-28.2
12,2016-01-13,2016,1,13,-23.2,-26.3,-24.8
13,2016-01-14,2016,1,14,-17.0,-23.8,-20.4
14,2016-01-15,2016,1,15,-15.7,-23.0,-19.4
15,2016-01-16,2016,1,16,-20.8,-25.2,-23.0
16,2016-01-17,2016,1,17,-22.0,-29.9,-26.0
17,2016-01-18,2016,1,18,-24.0,-27.3,-25.7
18,2016-01-19,2016,1,19,-22.8,-28.4,-25.6
19,2016-01-20,2016,1,20,-22.2,-25.1,-23.7
20,2016-01-21,2016,1,21,-23.8,-26.0,-24.9
21,2016-01-22,2016,1,22,-21.6,-25.5,-23.6
22,2016-01-23,2016,1,23,-21.4,-23.3,-22.4
23,2016-01-24,2016,1,24,-20.0,-23.8,-21.9
24,2016-01-25,2016,1,25,-18.8,-21.7,-20.3
25,2016-01-26,2016,1,26,-18.7,-21.6,-20.2
26,2016-01-27,2016,1,27,-16.7,-19.1,-17.9
27,2016-01-28,2016,1,28,-14.7,-19.5,-17.1
28,2016-01-29,2016,1,29,-12.5,-14.7,-13.6
29,2016-01-30,2016,1,30,-11.9,-16.1,-14.0
30,2016-01-31,2016,1,31,-10.2,-13.5,-11.9
31,2016-02-01,2016,2,1,-13.4,-18.4,-15.9
32,2016-02-02,2016,2,2,-17.8,-22.7,-20.3
33,2016-02-03,2016,2,3,-22.1,-31.1,-26.6
34,2016-02-04,2016,2,4,-28.7,-34.2,-31.5
35,2016-02-05,2016,2,5,-30.3,-33.9,-32.1
36,2016-02-06,2016,2,6,-26.6,-30.4,-28.5
37,2016-02-07,2016,2,7,-24.7,-29.8,-27.3
38,2016-02-08,2016,2,8,-19.8,-25.5,-22.7
39,2016-02-09,2016,2,9,-20.2,-24.5,-22.4
40,2016-02-10,2016,2,10,-15.9,-23.7,-19.8
41,2016-02-11,2016,2,11,-13.2,-19.5,-16.4
42,2016-02-12,2016,2,12,-13.6,-15.5,-14.6
43,2016-02-13,2016,2,13,-15.5,-18.4,-17.0
44,2016-02-14,2016,2,14,-17.0,-21.9,-19.5
45,2016-02-15,2016,2,15,-20.4,-31.6,-26.0
46,2016-02-16,2016,2,16,-25.7,-33.3,-29.5
47,2016-02-17,2016,2,17,-20.3,-27.7,-24.0
48,2016-02-18,2016,2,18,-22.5,-27.5,-25.0
49,2016-02-19,2016,2,19,-21.8,-27.7,-24.8
50,2016-02-20,2016,2,20,-21.8,-28.6,-25.2
51,2016-02-21,2016,2,21,-17.0,-24.7,-20.9
52,2016-02-22,2016,2,22,-12.9,-25.1,-19.0
53,2016-02-23,2016,2,23,-10.1,-16.8,-13.5
54,2016-02-24,2016,2,24,-5.6,-12.3,-9.0
55,2016-02-25,2016,2,25,-8.0,-14.1,-11.1
56,2016-02-26,2016,2,26,-8.9,-20.5,-14.7
57,2016-02-27,2016,2,27,-19.8,-25.2,-22.5
58,2016-02-28,2016,2,28,-19.7,-25.4,-22.6
59,2016-02-29,2016,2,29,-17.9,-24.6,-21.3
60,2016-03-01,2016,3,1,-16.0,-20.9,-18.5
61,2016-03-02,2016,3,2,-15.7,-19.3,-17.5
62,2016-03-03,2016,3,3,-17.5,-22.3,-19.9
63,2016-03-04,2016,3,4,-18.4,-27.8,-23.1
64,2016-03-05,2016,3,5,-22.5,-31.1,-26.8
65,2016-03-06,2016,3,6,-22.7,-28.7,-25.7
66,2016-03-07,2016,3,7,-22.4,-29.2,-25.8
67,2016-03-08,2016,3,8,,-26.1,
68,2016-03-09,2016,3,9,-16.6,-20.2,-18.4
69,2016-03-10,2016,3,10,-13.1,-18.9,-16.0
70,2016-03-11,2016,3,11,-12.3,-15.3,-13.8
71,2016-03-12,2016,3,12,-15.3,-19.0,-17.2
72,2016-03-13,2016,3,13,-16.5,-19.3,-17.9
73,2016-03-14,2016,3,14,-18.4,-24.7,-21.6
74,2016-03-15,2016,3,15,-20.0,-24.1,-22.1
75,2016-03-16,2016,3,16,-19.2,-24.7,-22.0
76,2016-03-17,2016,3,17,-15.9,-25.0,-20.5
77,2016-03-18,2016,3,18,-21.3,-24.7,-23.0
78,2016-03-19,2016,3,19,-16.7,-23.1,-19.9
79,2016-03-20,2016,3,20,-13.7,-22.9,-18.3
80,2016-03-21,2016,3,21,-12.4,-19.5,-16.0
81,2016-03-22,2016,3,22,-9.2,-17.4,-13.3
82,2016-03-23,2016,3,23,-5.1,-16.5,-10.8
83,2016-03-24,2016,3,24,-6.8,-11.2,-9.0
84,2016-03-25,2016,3,25,-1.0,-10.2,-5.6
85,2016-03-26,2016,3,26,-9.7,-18.1,-13.9
86,2016-03-27,2016,3,27,-10.7,-12.9,-11.8
87,2016-03-28,2016,3,28,-12.2,-16.7,-14.5
88,2016-03-29,2016,3,29,-16.7,-20.1,-18.4
89,2016-03-30,2016,3,30,-11.8,-22.4,-17.1
